veterinarian,pet,"start time","finish time",notified,"is made by vet"
77,74,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
75,73,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
74,80,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
80,71,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
72,73,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
76,79,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
79,75,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
79,73,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
80,78,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
72,71,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
72,79,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
78,73,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
78,72,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
78,74,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
77,73,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
74,78,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
71,71,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
71,76,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
71,72,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
80,77,"2023-04-05 23:48:09","2023-04-06 00:48:09","not notified ",scheduled
